username,points,is_winner
nowinchess,0,FALSE
cfalcons8,4.5,FALSE
lluiss,1.5,FALSE
lupta_robin,2.5,FALSE
xdps,3,FALSE
combativewombat,5,FALSE
dolynachess,5,FALSE
imdarealist,0,FALSE
arctic_t00,6.5,FALSE
rawnsdale,4,FALSE
christopheryoo,5.5,FALSE
yaguigor,5.5,FALSE
jan2404,3,FALSE
bugcrusher,4,FALSE
fairchess_on_youtube,8.5,FALSE
imjonathancarlstedt,2.5,FALSE
aygehovit1992,2.5,FALSE
alejandroarias,1.5,FALSE
detimmerman,6.5,FALSE
gabduschew,5,FALSE
hikaru,9.5,FALSE
laico,5,FALSE
jackrodgers,3.5,FALSE
orest_vovk,5.5,FALSE
good_knight_kiss,3.5,FALSE
skillcam,2.5,FALSE
jup1978,2.5,FALSE
adar_07,5.5,FALSE
wonderfultime,9,FALSE
lupul_cenusiu,7,FALSE
chopper1905,5,FALSE
andrii_prydun,4,FALSE
mishanick,9,FALSE
scandalgod,7,FALSE
lukas_111111,4,FALSE
kaanadayhamle,2.5,FALSE
toddbryant,5,FALSE
scim,0.5,FALSE
mikhail_golubev,6,FALSE
byniolus,8,FALSE
eddiemarsalla,1,FALSE
pitomina,1,FALSE
hblanco,3,FALSE
karinachess1,6.5,FALSE
igor_lysyj,6.5,FALSE
socaljuniorchess,1.5,FALSE
kalinchick,5,FALSE
karlemilelmer,4.5,FALSE
fmolexandrprohorov,0,FALSE
tsukasa06,0,FALSE
rainbow2014,5.5,FALSE
randy296,0,FALSE
sanan_sjugirov,4,FALSE
rychessmaster1,4.5,FALSE
maracayo,1,FALSE
journey_to_grandmaster_yt,6,FALSE
pinelone,4,FALSE
subham777,6,FALSE
chigorinetz,4,FALSE
ghandeevam2003,8,FALSE
pnepaul,1.5,FALSE
msb2,8.5,FALSE
fandorine,7,FALSE
miterryble,2,FALSE
valeriygrinev,2,FALSE
oiam03,1,FALSE
dianamirza,3,FALSE
perecke,2,FALSE
sakkikuska,0,FALSE
nmjeevank,3.5,FALSE
aranibos,4,FALSE
crazymartian,0,FALSE
durarbayli,4,FALSE
bob1263,5,FALSE
ramonmanon0g,3,FALSE
canhhuan,5.5,FALSE
sondremelaa,4.5,FALSE
elcoachrene,1,FALSE
yobdc,5.5,FALSE
xasid81,7,FALSE
bala-afiada,2.5,FALSE
mischuk_d,1.5,FALSE
fabianvivasz,2.5,FALSE
gianmarcovar,2.5,FALSE
chesssg1,4.5,FALSE
larsmandreassen,0.5,FALSE
pouya21,6.5,FALSE
cthulhuuu,5,FALSE
vugarrasulov,0,FALSE
bigfish1995,1.5,FALSE
lennis93,1.5,FALSE
tolya2,5,FALSE
zhigalko_sergei,9,FALSE
unkiyto,4.5,FALSE
chessdemon2019,2.5,FALSE
soloderisas,3,FALSE
jospem,6.5,FALSE
grischuk,8,FALSE
zurability,7,FALSE
shirovin,3,FALSE
malakismayil,6,FALSE
gm_dmitrij,6.5,FALSE
pelusiansky,6,FALSE
lastreetcmamaison,2,FALSE
monomita,7.5,FALSE
hrant_chessmood,3,FALSE
novakratko,5.5,FALSE
only_strong_moves,2,FALSE
bascheyaro,2,FALSE
bilodeaua,5,FALSE
chaubunagungamaug1,6,FALSE
rsnr,5,FALSE
oleksandr_bortnyk,9,FALSE
tigrvshlyape,9,FALSE
sargsyan_shant,0,FALSE
sergiochess83,5,FALSE
crushingkings,3.5,FALSE
ckgchess,5.5,FALSE
annawel,5.5,FALSE
champ2005,4.5,FALSE
thenewfiredragon,6,FALSE
goryachkina,7,FALSE
romulocardoso,3.5,FALSE
freeeeeeeeeeeeeeeeee,1,FALSE
ybothg,0,FALSE
toninhojit,0,FALSE
maximnovik,4,FALSE
a4rooka3,5,FALSE
atm622,6,FALSE
ritanovikova,3,FALSE
leonardol2005,2,FALSE
aldokhinivan,7,FALSE
amintabatabaei,5,FALSE
k-nygren,5,FALSE
eloist,5.5,FALSE
joakimvonand,7,FALSE
ahkashefi2800,5,FALSE
k_a_s_t_o_r,8.5,FALSE
jacksterthepro,0,FALSE
imdvb6307,2,FALSE
ameetghasi100,5.5,FALSE
sari07,1.5,FALSE
vinzentspitzl,2,FALSE
jlf287,2,FALSE
newyorkmouse,6.5,FALSE
dishonoronyourcow,1,FALSE
kvaidan,1,FALSE
lidongw,4,FALSE
rasmussvane,7.5,FALSE
drycounty,7,FALSE
baki83,4.5,FALSE
inadac,2.5,FALSE
birdmaster3000,3,FALSE
artem_koval,5,FALSE
vladislavkovalev,8,FALSE
olawsson,1,FALSE
miraitrunks,2.5,FALSE
andrei_skvortsov,5,FALSE
scrambleyourbrain,4,FALSE
tunahan_makaraci,6,FALSE
cristiano78,3.5,FALSE
gothamchess,6.5,FALSE
individoom,7,FALSE
denlaz,9.5,TRUE
bykov_egor,5,FALSE
commando_droid,3,FALSE
insatiable27,4,FALSE
slovak_fighter2000,1,FALSE
david_atm,1.5,FALSE
harkerchess,0,FALSE
millerkallpa,2,FALSE
bazar-wokzal,5,FALSE
gyulamiryan-koryun,2,FALSE
kavyev_ruslan,6,FALSE
elis06,1,FALSE
rhinos1,1.5,FALSE
barboval,6,FALSE
cxrjs,5,FALSE
becemix,1,FALSE
randomo,2,FALSE
amylazy,6,FALSE
zverr1,5.5,FALSE
vacheh009,3,FALSE
flawless_fighter,7,FALSE
jarming,4,FALSE
ozates,3.5,FALSE
egnfanclub,5,FALSE
itay121,1.5,FALSE
maiqmaster,0.5,FALSE
manukyan_artak,2,FALSE
maksimys18,1,FALSE
tortorchess,4.5,FALSE
korchmar_vasiliy,6,FALSE
sanyura,4.5,FALSE
chesper99,3.5,FALSE
slidingknight2775,7,FALSE
temus_galaktionov,8,FALSE
tvjosue,0,FALSE
santosalberto1987,6.5,FALSE
jbking07,2.5,FALSE
hajiyevkanan,5.5,FALSE
seppppppy,5,FALSE
el_sporco,3,FALSE
hirna2005,5,FALSE
bob_2004,6,FALSE
schattman,0.5,FALSE
tocantins_to,0,FALSE
noblerone,4.5,FALSE
juandiv_chessmood,1,FALSE
komogro,0,FALSE
gmchessrob,3,FALSE
marszach123,1,FALSE
nitpicker,3.5,FALSE
kinga2008,3,FALSE
asahoffmann,1.5,FALSE
smiechu,4,FALSE
alexostrovskiy,5,FALSE
kikoveiga,2,FALSE
th3d4rkness,6,FALSE
tactic,6,FALSE
ploxoi,4.5,FALSE
cuchulin,3,FALSE
wildtricks,3.5,FALSE
abund,7,FALSE
stanbad1,4,FALSE
azikom,7.5,FALSE
mops_2004,6.5,FALSE
safikiet,4.5,FALSE
colegiodemadrid,1,FALSE
kombinator01,4.5,FALSE
nikitashnadrygin,1,FALSE
patolindo,3,FALSE
mrchampion_coach,0,FALSE
artemdyachuk,2,FALSE
ninjatrick,4.5,FALSE
aot317,5,FALSE
polish_fighter3000,8,FALSE
pompey831,4,FALSE
cm_rui,1,FALSE
clauamura,5,FALSE
geychess,0,FALSE
rionelg,4.5,FALSE
giantgoogachess,4,FALSE
i_like_explosions,4,FALSE
protectiago,3,FALSE
esskeettit,6.5,FALSE
atanejhad,2,FALSE
scabies1,1,FALSE
carloseduar100,4.5,FALSE
vesalhamedinia,5,FALSE
lrjchess,0,FALSE
mackster23,0,FALSE
gelmanalexander,0.5,FALSE
crasyhealer,0,FALSE
yuriydovzik,0,FALSE
loonsdekoeben,4.5,FALSE
harshu27,5,FALSE
coachvadim,4,FALSE
alivodicdario,1,FALSE
pirulillo,5.5,FALSE
rakitic2010,1,FALSE
dolphin_2010,6.5,FALSE
jehubner,2,FALSE
mathiaswomacka,5,FALSE
familijatop71,3.5,FALSE
oleg_papayan,6,FALSE
crazy_girl99,7,FALSE
glavkonvvs,6,FALSE
artin10862,7.5,FALSE
goltsevdmitry2000,7,FALSE
aexmi,5,FALSE
kebabjangles,3,FALSE
mfschulz,2,FALSE
skatchkov_v,2,FALSE
woodlandmagic,3,FALSE
chessadvanceusa,2,FALSE
alina_gumerovna,2,FALSE
jcmesafischer,3.5,FALSE
crazy_but_lazy,3,FALSE
nicolik,5.5,FALSE
dearron_fox,6,FALSE
marcoriehle,2.5,FALSE
divudis17,4.5,FALSE
shivacalypso,6.5,FALSE
picturesquecheck,2.5,FALSE
sharathrk6,2,FALSE
supergiuly,5.5,FALSE
chempiblinka,6.5,FALSE
vagliosagan,5,FALSE
donjuanegenaro,0,FALSE
szachmistrz2500,3,FALSE
overallstranger,6.5,FALSE
casper,2,FALSE
js20000,7.5,FALSE
chessforme17,2,FALSE
zampronha1971,6,FALSE
meri-arabidze,7,FALSE
evgchess5,7.5,FALSE
reevecanada,6.5,FALSE
chesslover0108,6,FALSE
road2gm3000,2.5,FALSE
ellatambien,6,FALSE
mohssenbinaddi,0,FALSE
rud_makarian,4,FALSE
mikhal867,5,FALSE
silvercityindigo,3,FALSE
probablybad04,3,FALSE
maus7,8,FALSE
crazy_machine,3,FALSE
joksijoksi,0,FALSE
dropstonedp,9,FALSE
jessy-molina,0,FALSE
papaiedudu,4,FALSE
virtualcoach,3,FALSE
mikayel99,7,FALSE
szefru,6,FALSE
rochachade,2,FALSE
jcvandamme10,1,FALSE
juancruzarias,0,FALSE
drragnar1,3,FALSE
rubinstein_akiba,0,FALSE
kchor05,1,FALSE
philekhoob,3,FALSE
zverevlev,8,FALSE
chess94cu,6.5,FALSE
speedoflight0,8.5,FALSE
invisible_s0ul,0,FALSE
chessbard1972,3.5,FALSE
mymchessacademy,0,FALSE
patricius007,4.5,FALSE
csb7,3,FALSE
readyskate,8,FALSE
junjicol,5,FALSE
chessswole,7,FALSE
alrs-sps,6,FALSE
fmalexhdez,2,FALSE
ajedrezsinlimites,3,FALSE
bardartem,8,FALSE
alexrustemov,7.5,FALSE
danylabagrov,7,FALSE
boudicca64,2.5,FALSE
evilmorty23,2,FALSE
kingcyber19,2.5,FALSE
esrosenberg,1.5,FALSE
marceloplaya,4,FALSE
katharinareinecke,2,FALSE
viktor_poddubnyi,5,FALSE
duone,5,FALSE
mccarthystone,1,FALSE
mikhail_bryakin,0,FALSE
mestrefeitosa19,0.5,FALSE
dosto07,5,FALSE
connectedcloud,3,FALSE
rikchessmx,1,FALSE
andrey-ivanov2011,1.5,FALSE
edgarhay012,8,FALSE
aleksandramilovic,1,FALSE
madmax011,1,FALSE
topin8,5.5,FALSE
tptagain,7.5,FALSE
esmeraldasanderson03,0,FALSE
carlmagnuson,0,FALSE
chessdreamer2020,5,FALSE
nailbashirli,7,FALSE
bryanl106,7.5,FALSE
hamedwafa4,6.5,FALSE
hansontwitch,8,FALSE
realperangel,2.5,FALSE
lady_nika,1.5,FALSE
navyblue1,2.5,FALSE
arteler,4,FALSE
teresin05,5.5,FALSE
romkachess,5,FALSE
vi_pranav,7.5,FALSE
nindjaxx8,7,FALSE
koroldimitriy75,3.5,FALSE
archibaldcerveza29,1,FALSE
halfiscrayfish,6.5,FALSE
dozer80,1,FALSE
schondeln,4.5,FALSE
simaopdias,2,FALSE
mightysmasher,2,FALSE
legendisback1,7.5,FALSE
redzishchess,2,FALSE
sl4werthanyou,2,FALSE
lamomiajunior,6.5,FALSE
rebecajimnz,3.5,FALSE
sic_transit_gm,6.5,FALSE
albussevrespotter,3,FALSE
levanzovsky,1,FALSE
ansko1999,6,FALSE
aswathchess,4.5,FALSE
heliosis11,3.5,FALSE
eternalnight8,4,FALSE
frankdux44,1,FALSE
cristhianportalr,3,FALSE
wilsonpalencia21,6,FALSE
betta2004,6,FALSE
khbr4,1,FALSE
tulipnoir,1,FALSE
mysterio47,7.5,FALSE
urano56,4.5,FALSE
poseidon5191,0,FALSE
rdarruda,5.5,FALSE
rutricks,8,FALSE
kamilahryshchenko,4,FALSE
ilyagrigorjev,1,FALSE
fuenfgegenwilly,4,FALSE
defenstrator,2,FALSE
ykow,0.5,FALSE
alphaperseii,3.5,FALSE
pachonpower,2.5,FALSE
momotaro77,0,FALSE
renatoforf,1,FALSE
pryzbylla_from_azkaban,0,FALSE
grotbchess,4,FALSE
stollenmonster,6,FALSE
merinasian,3,FALSE
srob2003,7.5,FALSE
the,2,FALSE
unbreakablepawn35,4.5,FALSE
fly_21,3,FALSE
sudtirolese06,2,FALSE
yegoryoch,1,FALSE
maestrocheck,6,FALSE
ncofre98,3,FALSE
alex_sahakyan2006,0,FALSE
mklose11,2.5,FALSE
slovineanu,6,FALSE
patzer-reloaded,3.5,FALSE
charodej1,1,FALSE
checkbits,4,FALSE
the_sherman_variation,2,FALSE
jero888,2,FALSE
kylelancman,0,FALSE
janistantv,5.5,FALSE
manmish2,4.5,FALSE
micke12a,6,FALSE
rantomopening,5.5,FALSE
berlindrawer,6.5,FALSE
windwhistler11,3,FALSE
carokannlover213,3,FALSE
kimkibo,1,FALSE
sansanathalia,4.5,FALSE
zsizsi99,1,FALSE
josetricks,2,FALSE
inepton_fermion,5,FALSE
omranalhosani21,2,FALSE
cacriefils1984,0,FALSE
howto2draw,1,FALSE
dr_troll,4,FALSE
sammartin99,5,FALSE
roland_garros_2024,3,FALSE
masterisback04,3.5,FALSE
bauman_guy,8.5,FALSE
legit,7,FALSE
nigeldwarf,5,FALSE
gmaneta,1.5,FALSE
cedchass2006,1,FALSE
armanghevondyanchess,7,FALSE
najdorfplayerc5,4,FALSE
poxerstar,0,FALSE
austinthomas12345,1.5,FALSE
youshallnotpass001,3,FALSE
hakiki_satranc,3.5,FALSE
secretworker2027,4,FALSE
chess_blitz00,0,FALSE
gotcheesecheckers,2.5,FALSE
kalxandria,4.5,FALSE
statham_01,6.5,FALSE
xakevicius91,7,FALSE
traviscottofficial,4,FALSE
beaterawn,5,FALSE
masterofmasters2006,1,FALSE
javokhir_sindarov05,3.5,FALSE
acollins05,2,FALSE
jimonios,4,FALSE
n_i_chess,4,FALSE
elitechess0967,5.5,FALSE
king_deded4d5,6,FALSE
winner_7777,1,FALSE
aram7adam,0,FALSE
crazycheesecake,2,FALSE
cakeuvdort,1,FALSE
ferasensio2024,0.5,FALSE
osielchesslover2011,2,FALSE
evan_attaker,7,FALSE
aeiiuu,4,FALSE
gangster-accountant01,2.5,FALSE
dexter_dyke,4,FALSE
chessgod9oninsta,2,FALSE
yoursillykitten,2,FALSE
brokenfritz,2,FALSE
losingexperience,7,FALSE
jg1me,7.5,FALSE
finejupiter,2,FALSE
chessbaerchen,1,FALSE
attilaturzo,6.5,FALSE
andrzej,4,FALSE
matalon,4.5,FALSE
nadtkins,5.5,FALSE
mostafa_sakha,5,FALSE
jiahaoxiang,3,FALSE
gmg,3,FALSE
kacparov,1,FALSE
dcremisi,0,FALSE
houseofdurin,5,FALSE
storeysniper,1,FALSE
novakcabarkapa,3,FALSE
fourqueens13,1.5,FALSE
topce,5.5,FALSE
socoloco,3,FALSE
bigal,2,FALSE
dennisodessa,4.5,FALSE
mikesailer,0.5,FALSE
jamengrand,2,FALSE
magnuscarlsen,9.5,FALSE
oparingrigoriy,3.5,FALSE
gmbenjaminbok,5,FALSE
aljoschafeuerstack,5.5,FALSE
kiborg95,0,FALSE
zq1,4.5,FALSE
hellokostya,2,FALSE
alexeishirov,6.5,FALSE
marvinguevara,4,FALSE
talaicito,6,FALSE
knvb,6,FALSE
jk13,5.5,FALSE
manitodeplomo,7,FALSE
zhani-z,6,FALSE
twofoxniel,4.5,FALSE
koncheto,6,FALSE
ejalmedina,4.5,FALSE
northridgehawk,1,FALSE
falzehope0,5,FALSE
alexanderking,6,FALSE
uf_10,5,FALSE
laskakid,3,FALSE
glebus008,0,FALSE
larax,0,FALSE
yaacovn,4.5,FALSE
crimefightingspider07,4.5,FALSE
jlmanzanares,2,FALSE
bm223344,5,FALSE
chessarchitect64,0,FALSE
imrosen,7,FALSE
pfalcon1949,2,FALSE
roedor,6.5,FALSE
schmakattack,3,FALSE
verdenotte,8,FALSE
muncettin,1,FALSE
biostatistician,2,FALSE
artyom_chessmate,2.5,FALSE
georgiossouleidis,6.5,FALSE
nihalsarin,10,TRUE
kielinkei,1,FALSE
abelmat,2.5,FALSE
djano,5,FALSE
dvahrasta,5.5,FALSE
squirlolz,2,FALSE
dragonb70,7,FALSE
axvesik,6,FALSE
giorgianbarbosa,2.5,FALSE
penguingm1,4,FALSE
angry_twin,7,FALSE
campochess,3,FALSE
veleamater,4,FALSE
jaramsdal,5,FALSE
wild3000,1,FALSE
gameoverbro,0,FALSE
maurovargas01,2,FALSE
jaskol95,5.5,FALSE
pattycastillo,0,FALSE
williamalfarocaracas,4,FALSE
lucasran,1,FALSE
qvalda,5.5,FALSE
marcocordeiro2013,0,FALSE
indianschoolofsuffering,5.5,FALSE
ingoscarardila,1.5,FALSE
jcibarra,8,FALSE
initiatingasc,4,FALSE
fabianocaruana,7.5,FALSE
eliwood44,4,FALSE
reniite,3,FALSE
sirinbaba33,5.5,FALSE
tomesao,2,FALSE
jjdarek,6,FALSE
salomez,4.5,FALSE
senn71,4,FALSE
chessfannm,1,FALSE
roachelley,4.5,FALSE
ulises2013,7.5,FALSE
cthake,1.5,FALSE
cfalcons8,4,FALSE
lluiss,1.5,FALSE
rockstar0902,6,FALSE
ginger_gm,4,FALSE
simplerxiao,3.5,FALSE
xdps,8.5,FALSE
kleinebeer98,9,FALSE
shahmatkanal,6,FALSE
arctic_t00,6.5,FALSE
rawnsdale,2,FALSE
christopheryoo,6.5,FALSE
timgrutter03,1,FALSE
blackboarder,3,FALSE
yaguigor,6.5,FALSE
jan2404,4,FALSE
fairchess_on_youtube,8,FALSE
followrivers,2.5,FALSE
krsilva,1,FALSE
imjonathancarlstedt,2.5,FALSE
lapitob,5,FALSE
aygehovit1992,7,FALSE
caterpiller35,0,FALSE
gabduschew,6,FALSE
resignify,3.5,FALSE
laico,5.5,FALSE
skinnypuppy8,3,FALSE
anijak,2.5,FALSE
fghsmn,7,FALSE
the_chess_child,7.5,FALSE
rile-man,5,FALSE
orest_vovk,5.5,FALSE
superjesus88,1,FALSE
jup1978,1,FALSE
adar_07,7,FALSE
wonderfultime,8,FALSE
rebeljohnny,3,FALSE
art10echr,0,FALSE
anton_demchenko,7,FALSE
fh2411,6.5,FALSE
lupul_cenusiu,5,FALSE
chopper1905,2,FALSE
tonychess32,0,FALSE
thebigboss04,8.5,FALSE
superfast64,0,FALSE
moon_stone123,5,FALSE
mikhail_golubev,6,FALSE
martial2008,2,FALSE
eltenedor,3,FALSE
allvim,0,FALSE
chess_peak,6,FALSE
karinachess1,5.5,FALSE
socaljuniorchess,2,FALSE
dominguezonyoutube,9,FALSE
karlemilelmer,3,FALSE
iball95,8,FALSE
randy296,0,FALSE
sanan_sjugirov,8,FALSE
maracayo,5,FALSE
journey_to_grandmaster_yt,5.5,FALSE
pinelone,4.5,FALSE
subham777,7,FALSE
kgli1m,2,FALSE
bangchess21,3.5,FALSE
ghandeevam2003,7.5,FALSE
msb2,9,FALSE
fandorine,6.5,FALSE
eddieurquhart,1,FALSE
valeriygrinev,3,FALSE
viiiagra,4,FALSE
jens1102,3,FALSE
dianamirza,1,FALSE
cycygogne,5,FALSE
rurep26,7.5,FALSE
yonaltimur,3,FALSE
harry_rakkel,6,FALSE
durarbayli,7.5,FALSE
sultaic,0,FALSE
mortngabriel,4.5,FALSE
defend1r,7,FALSE
barmen_ev,4,FALSE
sachiniranasinghe,2.5,FALSE
ramonmanon0g,4,FALSE
vladgoncharov,6.5,FALSE
gilbert_gm,7,FALSE
bocah_sakit,1.5,FALSE
peshkach,7,FALSE
sargissyansargis,4,FALSE
muradnuri,2,FALSE
treinadorbr,1,FALSE
robertojbm,2,FALSE
viktorskliarov,5.5,FALSE
sondremelaa,7,FALSE
elcoachrene,0,FALSE
c63_amg,7,FALSE
yobdc,0,FALSE
sirstrateg,6,FALSE
xasid81,5,FALSE
athanasios2,3,FALSE
caroexpert,5,FALSE
rachidhuilda,5,FALSE
luisfsiles,3.5,FALSE
chessboart,0,FALSE
calingheorghiu,0,FALSE
klimkoj,6,FALSE
pouya21,6.5,FALSE
cthulhuuu,5.5,FALSE
vugarrasulov,3,FALSE
bigfish1995,4.5,FALSE
meisterjabo,0,FALSE
annazero,3,FALSE
lennis93,2,FALSE
shuvalov,4.5,FALSE
kislov_oleg,2,FALSE
pavelalexandru07,4,FALSE
onischuk_v,6,FALSE
kuzubovyuriy,5,FALSE
zhigalko_sergei,7,FALSE
unkiyto,5,FALSE
juwen,1,FALSE
fishthatroared,3,FALSE
lagedema,4,FALSE
jospem,2,FALSE
levonaronian,0.5,FALSE
wizard_97,2.5,FALSE
zurability,4,FALSE
shirovin,4,FALSE
dulemudule,2.5,FALSE
malakismayil,1,FALSE
gm_dmitrij,9.5,FALSE
pelusiansky,7,FALSE
monomita,6.5,FALSE
novakratko,3,FALSE
only_strong_moves,5,FALSE
bascheyaro,8,FALSE
ninomaisuradze,0,FALSE
lestofante90,6,FALSE
pablozarnicki,1,FALSE
stolencandy13,3,FALSE
chaubunagungamaug1,5,FALSE
predatoru,3,FALSE
vengea_nce,4,FALSE
howitzer14,4,FALSE
rsnr,7.5,FALSE
chernov_alexander_a,3.5,FALSE
snowlord,7,FALSE
n_mullodzhanov,4.5,FALSE
tigrvshlyape,8.5,FALSE
sargsyan_shant,9,FALSE
maxleto,4,FALSE
masterofpuppets2,5,FALSE
crushingkings,0,FALSE
josefineheinemann,5,FALSE
goryachkina,6,FALSE
forge13,6.5,FALSE
longstom,2,FALSE
romulocardoso,3,FALSE
ninguno46,3,FALSE
mistrzemi,0,FALSE
chessshop,1,FALSE
pakarma,0.5,FALSE
matthewg-p4p,6,FALSE
agw2016,3,FALSE
kirill_klukin,7,FALSE
maximnovik,6,FALSE
a4rooka3,4,FALSE
rupeshjswl7,2,FALSE
atm622,5.5,FALSE
lionking2367890,0,FALSE
aldokhinivan,5,FALSE
amintabatabaei,4,FALSE
dhammiko,2,FALSE
witik,8,FALSE
k_a_s_t_o_r,5.5,FALSE
kotofeyca,4,FALSE
jacksterthepro,0,FALSE
hamisandwich,5.5,FALSE
feegus,6.5,FALSE
elizabethcastaneda,3.5,FALSE
dreamer_01,1.5,FALSE
stayflow,0,FALSE
dishonoronyourcow,3.5,FALSE
rodalquilar,7,FALSE
rasmussvane,9,FALSE
gnechko_ruslan,7.5,FALSE
baki83,2,FALSE
aa175,5.5,FALSE
aradhya2000,6,FALSE
gmakobianstl,6,FALSE
inadac,1,FALSE
cristians27,6,FALSE
birdmaster3000,7,FALSE
aksuliini1,1,FALSE
vladislavkovalev,7,FALSE
andrei_skvortsov,5.5,FALSE
eagle_2019,4,FALSE
muracle,6,FALSE
cristiano78,1.5,FALSE
niteshch,4,FALSE
gothamchess,6.5,FALSE
individoom,8,FALSE
denlaz,8.5,FALSE
hanschut,3.5,FALSE
sam_chessmood,8,FALSE
knightduta,6.5,FALSE
rosh1610,5,FALSE
bkmzzzzz,4,FALSE
timerkhanov,6,FALSE
kopytkin,1,FALSE
marcin,1,FALSE
gafkens,5.5,FALSE
commando_droid,2,FALSE
novoselovroman,5,FALSE
david_atm,5.5,FALSE
harkerchess,5,FALSE
triumphmate,1,FALSE
jeetjain,2.5,FALSE
bazar-wokzal,6,FALSE
gogieff,6.5,FALSE
gyulamiryan-koryun,5,FALSE
fore_man,4,FALSE
elis06,4,FALSE
rhinos1,2,FALSE
barboval,5.5,FALSE
cxrjs,2,FALSE
becemix,2,FALSE
karateloru,5,FALSE
alexchess1984,6,FALSE
palombie,2,FALSE
amylazy,5,FALSE
sujanalohani,5,FALSE
nikolagry,2,FALSE
cmunda,4,FALSE
zverr1,6,FALSE
flawless_fighter,7,FALSE
meesvanosch,3,FALSE
danykopy,6,FALSE
bestestbp,5,FALSE
alenzer,2.5,FALSE
flyd,1.5,FALSE
ozates,4.5,FALSE
timurist,5,FALSE
itay121,0,FALSE
maiqmaster,0,FALSE
manukyan_artak,5.5,FALSE
korchmar_vasiliy,5.5,FALSE
ural58,3.5,FALSE
koshkamatrioshka,5,FALSE
sanyura,6,FALSE
chesper99,2.5,FALSE
josmito10,0,FALSE
slidingknight2775,7.5,FALSE
h3nriquetv,3,FALSE
tetrix83,6.5,FALSE
temus_galaktionov,8,FALSE
boundless_strike,7,FALSE
chuckphil,0,FALSE
darkalekhine,6,FALSE
santosalberto1987,5,FALSE
chessfatbear,3,FALSE
amartuvshinganzorig,0,FALSE
saraisitave,0,FALSE
hajiyevkanan,5.5,FALSE
ilya2700,0,FALSE
gareth-bale11,8,FALSE
tarno17,1.5,FALSE
bubeliang,6,FALSE
seppppppy,2,FALSE
nigirisushies,3,FALSE
el_sporco,1,FALSE
hirna2005,4,FALSE
bob_2004,6,FALSE
schattman,5.5,FALSE
noblerone,0,FALSE
komogro,2,FALSE
kubagepard,6.5,FALSE
marszach123,1,FALSE
nitpicker,5,FALSE
kinga2008,4,FALSE
stasor4ik,3.5,FALSE
ati1517,4,FALSE
smiechu,2.5,FALSE
lastgladiator1,8,FALSE
angelgab3,0,FALSE
fxdon77,4,FALSE
ploxoi,6.5,FALSE
rubicapa,0,FALSE
abund,5.5,FALSE
jguerramzllo,6.5,FALSE
gp9isback23,2,FALSE
dinabelenkaya,4.5,FALSE
kids2010,0,FALSE
stanbad1,7,FALSE
sokidze,6.5,FALSE
azikom,5,FALSE
mops_2004,7.5,FALSE
colegiodemadrid,0,FALSE
masterkroket,2.5,FALSE
nikitashnadrygin,7,FALSE
matols,4,FALSE
blitzking1729,8.5,FALSE
